feature_as_of_date,ticker,ret,adj_close,mom_3m,mom_6m,mom_12_ex1m,alpha_roll,beta_mkt_roll,beta_smb_roll,beta_hml_roll,next_q_ret,next_q_excess
2019-03-31,A,0.011832697588318064,76.40601348876953,0.19152103245677968,0.14473134041400892,0.19845076196257752,0.006059471079469997,1.3228110249505485,-0.6494062297097765,-0.4109223908811995,-0.06913844254175039,-0.1070159866854331
2019-06-30,A,0.11364634402744733,71.12342071533203,-0.06913844254175028,0.10914112401697955,0.09409482662284885,-0.0011431829641755376,1.3834301093856902,-0.5581059643497511,-0.46404606427316025,0.030720673860250347,0.018829839681857807
2019-09-30,A,0.07994479721383052,73.30838012695312,0.030720673860250333,-0.04054174822603079,0.01701673405722064,-0.0009546844667118887,1.3403916819868844,-0.593576683242579,-0.29344693654249665,0.11562258941814663,0.03028089350385299
2019-12-31,A,0.05843927528153947,81.78448486328125,0.11562258941814653,0.1498952671387893,0.20497808318467092,0.0008271792979766719,1.3228500450570415,-0.7305592038928655,-0.15281153455084456,-0.15833689066141665,0.04167361316322238
2020-03-31,A,-0.06834970785052641,68.8349838256836,-0.15833689066141668,-0.06102162254196113,-0.03299493374182682,0.0010136596069751178,1.1710374325517148,-0.643996069277397,-0.16059653876688887,0.23646406990471092,0.036935350210225204
2020-06-30,A,0.004714751669931738,85.11198425292969,0.236464069904711,0.040686193661438476,0.19106455506796638,3.672056982350139e-05,1.0794842879413284,-0.4990438657759967,-0.16324600633016795,0.14224298432079885,0.05750576372935323
2020-09-30,A,0.005178439510656441,97.21856689453124,0.14224298432079896,0.412342409213398,0.31932692912114,0.001102491807770313,1.0178607384678997,-0.4020698559414503,-0.10263678143447119,0.17598185367041919,0.05910107211841931
2020-12-31,A,0.013601236956950036,114.3272705078125,0.17598185367041924,0.3432570220436047,0.37915087946852044,0.006332503714045406,0.9887431257494862,-0.2716042160651424,0.017476683833274054,0.07476177676177609,0.017036595848563207
2021-03-31,A,0.04153350892898655,122.87458038330078,0.07476177676177609,0.2639003464904266,0.7138767452652797,0.0073406510437172175,0.9221172120977501,-0.12416407527072715,0.01698728238260444,0.16434576018739522,0.08263946673378397
2021-06-30,A,0.0700787482452836,143.06849670410156,0.16434576018739527,0.25139431798404566,0.57086028269784,0.012215557146605417,0.8846918732596366,0.121308492535114,-0.04767495895457265,0.06716092139012053,0.06482467029936978
2021-09-30,A,-0.10223957237023318,152.67710876464844,0.06716092139012057,0.24254429425826096,0.7492998306786223,0.011045219092190365,0.9593990864175378,0.09437284046108996,-0.1341993760696995,0.014719593453707658,-0.09175420192825445
2021-12-31,A,0.057985143797350425,154.92445373535156,0.014719593453707764,0.08286909630266723,0.28082728021106806,0.006456759080050445,0.9317202230827777,0.20445603250889155,-0.1370745320797819,-0.1700325091900241,-0.12056521864794889
2022-03-31,A,0.015112059929767607,128.58226013183594,-0.17003250919002402,-0.15781572514550732,0.030872656075903095,0.002089753630606341,0.9642985084924939,0.22215590332173396,-0.2257966543251077,-0.10106194938106161,0.06338900489063526
2022-06-30,A,-0.0689086885667134,115.58748626708984,-0.10106194938106156,-0.25391064173418854,-0.132290142518182,0.007854280310642996,0.8967377945885314,0.12266310524994573,-0.14337322499985555,0.02521933088642636,0.0779907228759088
2022-09-30,A,-0.05224166882112091,118.50252532958984,0.025219330886426302,-0.07839133323610357,-0.18105248860990994,0.008116132275098505,0.9148559205610378,0.11113796179670754,-0.1834542154596001,0.23515050478797073,0.1643454907276305
2022-12-31,A,-0.03295136248121833,146.3684539794922,0.23515050478797084,0.2663001740627551,-0.023034573873729126,0.012123434898801161,0.9744927148484167,-0.018444877788326264,-0.13509132477030006,-0.0755762659262752,-0.14584845204263164
2023-03-31,A,-0.025568772469474088,135.3064727783203,-0.07557626592627519,0.14180244177914209,0.07990692041206303,0.00546232375007016,1.0110343575724234,0.02112313083816253,0.023220117395125972,-0.12768610349429843,-0.21068539518937857
2023-06-30,A,0.041580709254773085,118.02971649169922,-0.1276861034942984,-0.1936123305077986,-0.019635408790713838,-0.0030191100241873797,1.1000990940506932,-0.004516518713276629,0.2342285367160027,-0.07010398121159311,-0.033628425775994564
2023-09-30,A,-0.07640213853645295,109.75536346435548,-0.07010398121159306,-0.18883878050554564,0.0028020849113557533,-0.005823467200374356,1.1317689362674643,-0.018598531481087754,0.23859584123722166,0.24795126879841312,0.1355970995649214
2023-12-31,A,0.08971153079834782,136.96934509277344,0.24795126879841328,0.16046491649758557,-0.14125475128599163,-0.0038614461530668397,1.2939823633511158,0.02604843535963658,0.2638976064458926,0.04660876609758691,-0.054971376506091296
2024-03-31,A,0.05933302678370267,143.3533172607422,0.046608766097587,0.3061167375870254,0.0001304772682549002,-0.004094213343261103,1.310414978016586,0.1321389187082102,0.3442525379950357,-0.10768613242874803,-0.14691646139073444
2024-06-30,A,-0.00598122547594393,127.91615295410156,-0.10768613242874796,-0.0660964840894863,0.0902834970363709,-0.010223215893598012,1.2650597298242483,0.06674413899710885,0.4392863547552312,0.14753958344591078,0.09223309004602553
